f,median,std,count,fam
22.33,1.4100000000000001,0.0,11,B_S21_cal
22.5,1.3599999999999994,0.0,5,B_S21_cal
22.67,1.3099999999999987,1.6103975366082986e-15,11,B_S21_cal
22.83,1.2699999999999996,0.0,8,B_S21_cal
23.0,1.25,0.0,3,B_S21_cal
23.17,1.2399999999999984,1.556576346723418e-15,15,B_S21_cal
23.33,1.2399999999999984,8.406473066991232e-16,7,B_S21_cal
23.5,1.2300000000000004,7.850462293418876e-16,5,B_S21_cal
23.67,1.2199999999999989,1.3010626525216818e-15,13,B_S21_cal
23.83,1.2200000000000015,1.7342238036525468e-15,6,B_S21_cal
24.0,1.2399999999999984,1.345419652541408e-15,8,B_S21_cal
24.17,1.25,2.9373740229761033e-16,9,B_S21_cal
24.33,1.25,0.0,10,B_S21_cal
24.5,1.25,0.0,8,B_S21_cal
24.67,1.2399999999999984,6.280369834735101e-16,9,B_S21_cal
24.83,1.2300000000000004,5.874748045952207e-16,13,B_S21_cal
25.0,1.2300000000000004,1.3260853798135216e-15,7,B_S21_cal
25.17,1.2199999999999989,1.2262814116578437e-15,9,B_S21_cal
25.33,1.1900000000000013,8.426000324584082e-16,11,B_S21_cal
25.5,1.1500000000000021,0.0,5,B_S21_cal
25.67,1.120000000000001,1.4286978659812466e-15,11,B_S21_cal
25.83,1.0899999999999999,5.733167046599011e-16,13,B_S21_cal
26.0,1.0300000000000002,1.7342238036525468e-15,8,B_S21_cal
26.17,0.9800000000000004,0.0,6,B_S21_cal
26.33,0.9800000000000004,1.4867595618788008e-15,10,B_S21_cal
26.5,0.9800000000000004,1.251861297841264e-15,8,B_S21_cal
26.67,1.0,0.0,8,B_S21_cal
26.83,1.0100000000000016,9.678699938266253e-16,5,B_S21_cal
27.0,0.9700000000000024,0.0,2,B_S21_cal
27.08,0.9600000000000009,1.541371849813047e-15,9,B_S21_cal
27.25,0.9400000000000013,1.2947314098277875e-15,9,B_S21_cal
27.42,0.9400000000000013,1.6413716396199079e-15,8,B_S21_cal
27.58,0.950000000000002,1.7604250661042806e-15,8,B_S21_cal
27.75,0.9700000000000006,1.5451656330173695e-15,11,B_S21_cal
27.92,0.9800000000000004,1.8357328725854993e-15,6,B_S21_cal
28.08,0.9800000000000004,1.3112857256711536e-15,13,B_S21_cal
28.25,0.9800000000000004,1.251861297841264e-15,8,B_S21_cal
28.42,0.9699999999999998,1.5706531058927462e-15,8,B_S21_cal
28.58,0.9800000000000004,1.4950270559846736e-15,10,B_S21_cal
28.75,0.9900000000000011,1.45519706309924e-15,6,B_S21_cal
28.92,1.0,0.0,9,B_S21_cal
29.08,0.990000000000002,1.4146682758070517e-15,12,B_S21_cal
29.25,1.0,0.0,7,B_S21_cal
29.42,1.0399999999999991,1.7271017045521525e-15,7,B_S21_cal
29.58,1.1000000000000014,1.3717732870252122e-15,13,B_S21_cal
29.75,1.1799999999999997,8.694778322860238e-16,4,B_S21_cal
29.92,1.2399999999999984,1.58288654265666e-15,12,B_S21_cal
30.08,1.259999999999998,1.7055569729570692e-15,7,B_S21_cal
30.25,1.25,0.0,7,B_S21_cal
30.42,1.2199999999999998,1.2560739669470201e-15,2,B_S21_cal
30.58,1.2299999999999986,1.8107189559191205e-15,13,B_S21_cal
30.75,1.2699999999999996,0.0,4,B_S21_cal
30.92,1.3500000000000014,7.160723346098896e-16,6,B_S21_cal
31.08,1.4400000000000013,2.296847253011292e-15,8,B_S21_cal
31.33,1.4600000000000009,1.7055569729570692e-15,7,B_S21_cal
31.5,1.4399999999999977,1.5700924586837751e-15,5,B_S21_cal
31.67,1.4500000000000028,0.0,2,B_S21_cal
31.83,1.4699999999999989,,1,B_S21_cal
32.0,1.5399999999999991,0.0,2,B_S21_cal
32.17,1.620000000000001,1.961044852356119e-15,5,B_S21_cal
32.33,1.709999999999999,,1,B_S21_cal
32.5,1.8000000000000007,0.0,2,B_S21_cal
32.67,1.879999999999999,1.5700924586837751e-15,5,B_S21_cal
33.0,2.0199999999999996,8.503660955450859e-16,4,B_S21_cal
33.17,2.0700000000000003,1.812986607347358e-15,4,B_S21_cal
33.5,2.1799999999999997,0.0,3,B_S21_cal
33.67,2.25,0.0,2,B_S21_cal
