f,median,std,count,fam
34.83,1.4299999999999997,,1,A_Cal.s2p
35.0,1.4299999999999997,0.0,4,A_Cal.s2p
35.33,1.4900000000000002,,1,A_Cal.s2p
35.67,1.6000000000000014,0.0,4,A_Cal.s2p
35.83,1.6600000000000001,,1,A_Cal.s2p
36.17,1.7399999999999984,0.0,4,A_Cal.s2p
36.5,1.8499999999999996,,1,A_Cal.s2p
36.83,1.9600000000000009,0.0,4,A_Cal.s2p
37.17,1.9800000000000004,0.0,4,A_Cal.s2p
37.67,1.9600000000000009,,1,A_Cal.s2p
37.83,1.9399999999999995,2.0511601988091347e-15,4,A_Cal.s2p
41.83,1.17,,1,A_Cal.s2p
47.0,2.2200000000000006,,1,A_Cal.s2p
0.33,0.10999999999999943,2.683118732393236e-16,11,B_S21_cal
0.5,0.14000000000000057,8.514489691496766e-16,18,B_S21_cal
0.67,0.17999999999999972,0.0,2,B_S21_cal
0.83,0.20999999999999996,1.7958951311445334e-15,11,B_S21_cal
1.0,0.23000000000000043,1.6429183426407168e-15,20,B_S21_cal
1.17,0.28999999999999915,1.5857156540161844e-15,5,B_S21_cal
1.33,0.33999999999999986,0.0,3,B_S21_cal
1.5,0.3999999999999986,1.327053254827284e-15,27,B_S21_cal
1.67,0.46000000000000085,1.6115998561773288e-15,8,B_S21_cal
1.83,0.5099999999999989,1.7604250661042806e-15,8,B_S21_cal
2.0,0.5600000000000003,1.663112608614093e-15,16,B_S21_cal
2.17,0.5399999999999991,1.7496623022645344e-15,12,B_S21_cal
2.33,0.5100000000000016,1.4028697774578022e-15,7,B_S21_cal
2.5,0.46000000000000085,1.5083250307232447e-15,18,B_S21_cal
2.67,0.41000000000000014,0.0,15,B_S21_cal
2.83,0.41000000000000014,4.486912934894983e-16,4,B_S21_cal
2.92,0.41000000000000014,0.0,11,B_S21_cal
3.08,0.41999999999999993,1.5579680111468782e-15,14,B_S21_cal
3.25,0.41999999999999815,1.8261243633040052e-15,12,B_S21_cal
3.42,0.41000000000000014,5.20740757162067e-16,3,B_S21_cal
3.58,0.41000000000000014,0.0,22,B_S21_cal
3.75,0.41000000000000014,2.3737566748887e-16,15,B_S21_cal
3.92,0.40999999999999837,2.059156955057807e-15,4,B_S21_cal
4.08,0.41000000000000014,0.0,27,B_S21_cal
4.25,0.39000000000000057,1.825295792301721e-15,6,B_S21_cal
4.42,0.379999999999999,1.5098398190083442e-15,10,B_S21_cal
4.58,0.379999999999999,1.7042424779849463e-15,12,B_S21_cal
4.75,0.379999999999999,1.5327889414912899e-15,17,B_S21_cal
4.92,0.39000000000000057,0.0,6,B_S21_cal
5.08,0.40000000000000036,1.7827637620912067e-15,11,B_S21_cal
5.25,0.41000000000000014,0.0,18,B_S21_cal
5.42,0.41000000000000014,0.0,14,B_S21_cal
5.58,0.4200000000000017,1.4001213849973702e-15,7,B_S21_cal
5.75,0.4200000000000017,1.2222838642722063e-15,18,B_S21_cal
5.92,0.4299999999999997,0.0,11,B_S21_cal
6.08,0.4400000000000013,1.3412225122777288e-15,14,B_S21_cal
6.25,0.4499999999999993,1.548132042069375e-16,10,B_S21_cal
6.42,0.46000000000000085,0.0,6,B_S21_cal
6.5,0.46000000000000085,1.2554604997715037e-15,9,B_S21_cal
6.67,0.4700000000000015,1.7719181114778642e-15,10,B_S21_cal
6.83,0.47,1.664038772637883e-15,16,B_S21_cal
7.0,0.4800000000000004,1.502337745331923e-15,10,B_S21_cal
7.17,0.4800000000000004,1.4210339709838103e-15,17,B_S21_cal
7.33,0.4800000000000004,1.6958936828758672e-16,7,B_S21_cal
7.5,0.48999999999999844,1.834869382018308e-15,15,B_S21_cal
7.67,0.4900000000000002,1.6631357690005192e-15,17,B_S21_cal
7.83,0.490000000000002,1.4365487997314296e-15,11,B_S21_cal
8.0,0.5,0.0,10,B_S21_cal
8.17,0.4800000000000004,1.4802395409215882e-15,19,B_S21_cal
8.33,0.46000000000000085,1.2858214429024784e-15,14,B_S21_cal
8.5,0.4299999999999997,0.0,8,B_S21_cal
8.67,0.39000000000000057,1.0223427372290141e-15,12,B_S21_cal
