Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
8.73	0.0971117	-1.8592	4.85558	-92.9599	0.529164	-0.797893	-0.377978	-56.4476
8.74	0.0971116	-1.85663	4.85558	-92.8313	0.528196	-0.798426	-0.378789	-56.5135
8.75	0.0971115	-1.85406	4.85558	-92.7029	0.527228	-0.798959	-0.379602	-56.5794
8.76	0.0971115	-1.8515	4.85557	-92.5748	0.526259	-0.79949	-0.380415	-56.6454
8.77	0.0971114	-1.84894	4.85557	-92.447	0.525289	-0.80002	-0.381228	-56.7113
8.78	0.0971113	-1.84639	4.85557	-92.3194	0.524319	-0.800549	-0.382042	-56.7773
8.79	0.0971113	-1.84384	4.85556	-92.1921	0.523348	-0.801077	-0.382857	-56.8432
8.8	0.0971112	-1.8413	4.85556	-92.065	0.522376	-0.801604	-0.383673	-56.9092
8.81	0.0971112	-1.83876	4.85556	-91.9382	0.521404	-0.802129	-0.384489	-56.9751
8.82	0.0971111	-1.83623	4.85555	-91.8117	0.520432	-0.802654	-0.385306	-57.0411
8.83	0.097111	-1.83371	4.85555	-91.6855	0.519458	-0.803177	-0.386124	-57.107
8.84	0.097111	-1.83119	4.85555	-91.5595	0.518484	-0.803698	-0.386942	-57.173
8.85	0.0971109	-1.82867	4.85555	-91.4337	0.51751	-0.804219	-0.387761	-57.239
8.86	0.0971108	-1.82617	4.85554	-91.3083	0.516535	-0.804738	-0.38858	-57.3049
8.87	0.0971108	-1.82366	4.85554	-91.183	0.515559	-0.805257	-0.389401	-57.3709
8.88	0.0971107	-1.82116	4.85554	-91.0581	0.514583	-0.805774	-0.390221	-57.4369
8.89	0.0971106	-1.81867	4.85553	-90.9334	0.513606	-0.806289	-0.391043	-57.5029
8.9	0.0971106	-1.81618	4.85553	-90.8089	0.512629	-0.806804	-0.391865	-57.5689
8.91	0.0971105	-1.81369	4.85553	-90.6847	0.511651	-0.807317	-0.392688	-57.6349
8.92	0.0971105	-1.81122	4.85552	-90.5608	0.510672	-0.80783	-0.393511	-57.7008
8.93	0.0971104	-1.80874	4.85552	-90.4371	0.509693	-0.808341	-0.394335	-57.7668
8.94	0.0971103	-1.80627	4.85552	-90.3136	0.508713	-0.80885	-0.39516	-57.8328
8.95	0.0971103	-1.80381	4.85551	-90.1904	0.507733	-0.809359	-0.395985	-57.8988
8.96	0.0971102	-1.80135	4.85551	-90.0675	0.506752	-0.809866	-0.396811	-57.9648
8.97	0.0971101	-1.7989	4.85551	-89.9448	0.50577	-0.810372	-0.397638	-58.0309
8.98	0.0971101	-1.79645	4.8555	-89.8224	0.504788	-0.810877	-0.398465	-58.0969
8.99	0.09711	-1.794	4.8555	-89.7002	0.503806	-0.811381	-0.399293	-58.1629
9	0.0971099	-1.79156	4.8555	-89.5782	0.502822	-0.811884	-0.400121	-58.2289
9.01	0.0971099	-1.78913	4.85549	-89.4565	0.501839	-0.812385	-0.400951	-58.2949
9.02	0.0971098	-1.7867	4.85549	-89.335	0.500854	-0.812885	-0.40178	-58.3609
9.03	0.0971097	-1.78428	4.85549	-89.2138	0.499869	-0.813384	-0.402611	-58.427
9.04	0.0971097	-1.78186	4.85548	-89.0929	0.498884	-0.813882	-0.403442	-58.493
9.05	0.0971096	-1.77944	4.85548	-88.9721	0.497898	-0.814378	-0.404274	-58.559
9.06	0.0971096	-1.77703	4.85548	-88.8517	0.496911	-0.814873	-0.405106	-58.6251
9.07	0.0971095	-1.77463	4.85547	-88.7314	0.495924	-0.815367	-0.405939	-58.6911
9.08	0.0971094	-1.77223	4.85547	-88.6114	0.494936	-0.81586	-0.406773	-58.7572
9.09	0.0971094	-1.76983	4.85547	-88.4916	0.493948	-0.816352	-0.407607	-58.8232
9.1	0.0971093	-1.76744	4.85546	-88.3721	0.492959	-0.816842	-0.408442	-58.8893
9.11	0.0971092	-1.76506	4.85546	-88.2528	0.49197	-0.817331	-0.409277	-58.9553
9.12	0.0971092	-1.76268	4.85546	-88.1338	0.49098	-0.817819	-0.410113	-59.0214
9.13	0.0971091	-1.7603	4.85545	-88.015	0.48999	-0.818306	-0.41095	-59.0874
9.14	0.097109	-1.75793	4.85545	-87.8964	0.488999	-0.818791	-0.411787	-59.1535
9.15	0.097109	-1.75556	4.85545	-87.778	0.488007	-0.819276	-0.412625	-59.2196
9.16	0.0971089	-1.7532	4.85544	-87.6599	0.487015	-0.819759	-0.413464	-59.2856
9.17	0.0971088	-1.75084	4.85544	-87.5421	0.486022	-0.82024	-0.414303	-59.3517
9.18	0.0971088	-1.74849	4.85544	-87.4244	0.485029	-0.820721	-0.415143	-59.4178
9.19	0.0971087	-1.74614	4.85543	-87.307	0.484036	-0.8212	-0.415983	-59.4839
9.2	0.0971086	-1.7438	4.85543	-87.1898	0.483041	-0.821679	-0.416824	-59.55
9.21	0.0971086	-1.74146	4.85543	-87.0729	0.482046	-0.822156	-0.417666	-59.616
9.22	0.0971085	-1.73912	4.85543	-86.9561	0.481051	-0.822631	-0.418508	-59.6821
9.23	0.0971084	-1.73679	4.85542	-86.8396	0.480055	-0.823106	-0.419351	-59.7482
9.24	0.0971084	-1.73447	4.85542	-86.7234	0.479059	-0.823579	-0.420195	-59.8143
9.25	0.0971083	-1.73215	4.85542	-86.6073	0.478062	-0.824051	-0.421039	-59.8804
9.26	0.0971082	-1.72983	4.85541	-86.4915	0.477065	-0.824522	-0.421883	-59.9465
9.27	0.0971082	-1.72752	4.85541	-86.3759	0.476067	-0.824991	-0.422729	-60.0126
9.28	0.0971081	-1.72521	4.85541	-86.2606	0.475068	-0.82546	-0.423575	-60.0787
9.29	0.097108	-1.72291	4.8554	-86.1455	0.474069	-0.825927	-0.424421	-60.1449
9.3	0.097108	-1.72061	4.8554	-86.0305	0.47307	-0.826393	-0.425268	-60.211
9.31	0.0971079	-1.71832	4.8554	-85.9159	0.47207	-0.826857	-0.426116	-60.2771
9.32	0.0971078	-1.71603	4.85539	-85.8014	0.471069	-0.827321	-0.426964	-60.3432
9.33	0.0971078	-1.71374	4.85539	-85.6871	0.470068	-0.827783	-0.427813	-60.4093
9.34	0.0971077	-1.71146	4.85538	-85.5731	0.469066	-0.828244	-0.428663	-60.4755
9.35	0.0971076	-1.70919	4.85538	-85.4593	0.468064	-0.828704	-0.429513	-60.5416
9.36	0.0971076	-1.70691	4.85538	-85.3457	0.467062	-0.829162	-0.430364	-60.6077
9.37	0.0971075	-1.70465	4.85537	-85.2324	0.466058	-0.82962	-0.431215	-60.6739
9.38	0.0971074	-1.70238	4.85537	-85.1192	0.465055	-0.830076	-0.432067	-60.74
9.39	0.0971074	-1.70013	4.85537	-85.0063	0.464051	-0.83053	-0.43292	-60.8062
9.4	0.0971073	-1.69787	4.85536	-84.8936	0.463046	-0.830984	-0.433773	-60.8723
9.41	0.0971072	-1.69562	4.85536	-84.7811	0.462041	-0.831436	-0.434626	-60.9385
9.42	0.0971072	-1.69338	4.85536	-84.6688	0.461035	-0.831887	-0.435481	-61.0046
9.43	0.0971071	-1.69113	4.85535	-84.5567	0.460029	-0.832337	-0.436336	-61.0708
9.44	0.097107	-1.6889	4.85535	-84.4449	0.459023	-0.832786	-0.437191	-61.1369
9.45	0.097107	-1.68666	4.85535	-84.3332	0.458015	-0.833233	-0.438047	-61.2031
9.46	0.0971069	-1.68444	4.85534	-84.2218	0.457008	-0.833679	-0.438904	-61.2693
9.47	0.0971068	-1.68221	4.85534	-84.1106	0.456	-0.834124	-0.439761	-61.3354
9.48	0.0971068	-1.67999	4.85534	-83.9996	0.454991	-0.834568	-0.440619	-61.4016
9.49	0.0971067	-1.67778	4.85533	-83.8888	0.453982	-0.83501	-0.441477	-61.4678
9.5	0.0971066	-1.67556	4.85533	-83.7782	0.452972	-0.835452	-0.442336	-61.534
9.51	0.0971065	-1.67336	4.85533	-83.6678	0.451962	-0.835892	-0.443196	-61.6001
9.52	0.0971065	-1.67115	4.85532	-83.5576	0.450952	-0.83633	-0.444056	-61.6663
9.53	0.0971064	-1.66895	4.85532	-83.4477	0.449941	-0.836768	-0.444917	-61.7325
9.54	0.0971063	-1.66676	4.85532	-83.3379	0.448929	-0.837204	-0.445778	-61.7987
9.55	0.0971063	-1.66457	4.85531	-83.2284	0.447917	-0.837639	-0.44664	-61.8649
9.56	0.0971062	-1.66238	4.85531	-83.119	0.446905	-0.838073	-0.447503	-61.9311
9.57	0.0971061	-1.6602	4.85531	-83.0099	0.445892	-0.838505	-0.448366	-61.9973
9.58	0.0971061	-1.65802	4.8553	-82.901	0.444878	-0.838936	-0.449229	-62.0635
9.59	0.097106	-1.65584	4.8553	-82.7922	0.443864	-0.839366	-0.450093	-62.1297
9.6	0.0971059	-1.65367	4.8553	-82.6837	0.44285	-0.839795	-0.450958	-62.1959
9.61	0.0971059	-1.65151	4.85529	-82.5754	0.441835	-0.840223	-0.451824	-62.2621
9.62	0.0971058	-1.64935	4.85529	-82.4673	0.44082	-0.840649	-0.45269	-62.3284
9.63	0.0971057	-1.64719	4.85529	-82.3593	0.439804	-0.841074	-0.453556	-62.3946
9.64	0.0971057	-1.64503	4.85528	-82.2516	0.438788	-0.841498	-0.454423	-62.4608
