Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
12.4069	0.752026	-0.307545	37.6013	-15.3772	-0.107413	-0.194392	-13.0693	-118.923
12.6069	0.742949	-0.305395	37.1475	-15.2697	-0.113301	-0.195069	-12.9337	-120.149
12.8068	0.733951	-0.303076	36.6975	-15.1538	-0.119241	-0.195631	-12.7992	-121.363
13.0068	0.725024	-0.300591	36.2512	-15.0296	-0.125237	-0.196077	-12.6656	-122.567
13.2067	0.71618	-0.297948	35.809	-14.8974	-0.131281	-0.196403	-12.533	-123.76
13.4067	0.707413	-0.295148	35.3707	-14.7574	-0.137376	-0.19661	-12.4012	-124.943
13.6066	0.698733	-0.292198	34.9367	-14.6099	-0.143514	-0.196695	-12.2705	-126.116
13.8066	0.690134	-0.2891	34.5067	-14.455	-0.1497	-0.196658	-12.1407	-127.279
14.0065	0.681625	-0.285862	34.0812	-14.2931	-0.155923	-0.196497	-12.0119	-128.432
14.2065	0.673199	-0.282484	33.6599	-14.1242	-0.162189	-0.196211	-11.884	-129.577
14.4064	0.664866	-0.278974	33.2433	-13.9487	-0.168489	-0.195798	-11.7571	-130.713
14.6064	0.65662	-0.275333	32.831	-13.7667	-0.174825	-0.195258	-11.6311	-131.84
