Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
5.40865	0.0736031	-2.65297	0.107358	-2.69847	3.68016	-132.648	5.36788	-134.924
5.6086	0.0737348	-2.55203	0.107357	-2.59229	3.68674	-127.601	5.36783	-129.615
5.80855	0.0716581	-2.45668	0.107356	-2.49308	3.58291	-122.834	5.36778	-124.654
6.0085	0.0727655	-2.36675	0.107355	-2.40013	3.63828	-118.337	5.36773	-120.006
6.20845	0.0740447	-2.28465	0.107354	-2.31283	3.70223	-114.233	5.36768	-115.642
6.4084	0.0766279	-2.20237	0.107352	-2.23067	3.83139	-110.119	5.36762	-111.534
6.60835	0.0749275	-2.1319	0.107351	-2.15318	3.74637	-106.595	5.36756	-107.659
6.8083	0.0755637	-2.05838	0.10735	-2.07994	3.77818	-102.919	5.3675	-103.997
7.00825	0.0746002	-1.99325	0.107349	-2.01058	3.73001	-99.6625	5.36744	-100.529
7.2082	0.0729255	-1.93051	0.107348	-1.94479	3.64627	-96.5257	5.36738	-97.2397
7.40815	0.0744894	-1.86882	0.107346	-1.88228	3.72447	-93.4408	5.36732	-94.1142
7.6081	0.0740346	-1.81205	0.107345	-1.82279	3.70173	-90.6027	5.36725	-91.1397
7.80805	0.0758997	-1.75828	0.107344	-1.76609	3.79499	-87.9139	5.36718	-88.3045
8.008	0.0751667	-1.70735	0.107342	-1.71196	3.75833	-85.3675	5.36711	-85.5981
8.20795	0.0744183	-1.65748	0.107341	-1.66023	3.72091	-82.8739	5.36704	-83.0113
8.4079	0.073435	-1.61089	0.107339	-1.61071	3.67175	-80.5447	5.36697	-80.5354
8.60785	0.0741596	-1.55168	0.107338	-1.56326	3.70798	-77.584	5.3669	-78.1628
8.8078	0.0741795	-1.51917	0.107336	-1.51773	3.70897	-75.9587	5.36682	-75.8863
9.00775	0.0736732	-1.47841	0.107335	-1.47399	3.68366	-73.9207	5.36674	-73.6997
9.2077	0.0748099	-1.43899	0.107333	-1.43194	3.7405	-71.9494	5.36666	-71.597
