Freq_GHz	Norm_dB_model_sat
10.3815	-0.772887
10.3914	-0.774442
10.4014	-0.775998
10.4114	-0.777556
10.4214	-0.779116
10.4314	-0.780678
10.4413	-0.782241
10.4513	-0.783806
10.4613	-0.785373
10.4713	-0.786941
10.4813	-0.788512
10.4913	-0.790084
10.5012	-0.791657
10.5112	-0.793233
10.5212	-0.79481
10.5312	-0.796389
10.5412	-0.797969
10.5512	-0.799552
10.5611	-0.801136
10.5711	-0.802722
10.5811	-0.804309
10.5911	-0.805898
10.6011	-0.80749
10.611	-0.809082
10.621	-0.810677
10.631	-0.812273
10.641	-0.813871
10.651	-0.815471
10.661	-0.817072
10.6709	-0.818675
10.6809	-0.82028
10.6909	-0.821887
10.7009	-0.823495
10.7109	-0.825105
10.7208	-0.826717
10.7308	-0.828331
10.7408	-0.829946
10.7508	-0.831563
10.7608	-0.833182
10.7708	-0.834803
10.7807	-0.836425
10.7907	-0.838049
10.8007	-0.839675
10.8107	-0.841303
10.8207	-0.842932
10.8306	-0.844563
10.8406	-0.846196
10.8506	-0.84783
10.8606	-0.849467
10.8706	-0.851105
10.8806	-0.852744
10.8905	-0.854386
10.9005	-0.856029
10.9105	-0.857674
10.9205	-0.859321
10.9305	-0.86097
10.9404	-0.86262
10.9504	-0.864272
10.9604	-0.865926
10.9704	-0.867581
10.9804	-0.869239
10.9904	-0.870898
11.0003	-0.872558
11.0103	-0.874221
11.0203	-0.875885
11.0303	-0.877551
11.0403	-0.879219
11.0503	-0.880889
11.0602	-0.88256
11.0702	-0.884233
11.0802	-0.885908
11.0902	-0.887585
11.1002	-0.889263
11.1101	-0.890943
11.1201	-0.892625
11.1301	-0.894309
11.1401	-0.895994
11.1501	-0.897681
11.1601	-0.89937
11.17	-0.901061
11.18	-0.902753
11.19	-0.904447
11.2	-0.906143
11.21	-0.907841
11.2199	-0.909541
11.2299	-0.911242
11.2399	-0.912945
11.2499	-0.91465
11.2599	-0.916356
11.2699	-0.918065
11.2798	-0.919775
11.2898	-0.921487
11.2998	-0.9232
11.3098	-0.924916
11.3198	-0.926633
11.3297	-0.928352
11.3397	-0.930073
11.3497	-0.931795
11.3597	-0.933519
11.3697	-0.935245
11.3797	-0.936973
11.3896	-0.938703
11.3996	-0.940434
11.4096	-0.942167
11.4196	-0.943902
11.4296	-0.945639
11.4395	-0.947377
11.4495	-0.949117
11.4595	-0.950859
11.4695	-0.952603
11.4795	-0.954348
11.4895	-0.956096
11.4994	-0.957845
11.5094	-0.959596
11.5194	-0.961348
11.5294	-0.963103
11.5394	-0.964859
11.5493	-0.966617
11.5593	-0.968377
11.5693	-0.970138
11.5793	-0.971902
11.5893	-0.973667
11.5993	-0.975434
11.6092	-0.977202
11.6192	-0.978973
11.6292	-0.980745
11.6392	-0.982519
11.6492	-0.984295
11.6592	-0.986072
11.6691	-0.987852
11.6791	-0.989633
11.6891	-0.991416
11.6991	-0.9932
11.7091	-0.994987
11.719	-0.996775
11.729	-0.998565
11.739	-1.00036
11.749	-1.00215
11.759	-1.00395
11.769	-1.00574
11.7789	-1.00754
11.7889	-1.00934
11.7989	-1.01115
11.8089	-1.01295
11.8189	-1.01476
11.8288	-1.01656
11.8388	-1.01837
11.8488	-1.02019
11.8588	-1.022
11.8688	-1.02381
11.8788	-1.02563
11.8887	-1.02745
11.8987	-1.02927
11.9087	-1.03109
11.9187	-1.03292
11.9287	-1.03474
11.9386	-1.03657
11.9486	-1.0384
11.9586	-1.04023
11.9686	-1.04206
11.9786	-1.0439
11.9886	-1.04574
11.9985	-1.04757
12.0085	-1.04941
12.0185	-1.05126
12.0285	-1.0531
12.0385	-1.05495
12.0484	-1.05679
12.0584	-1.05864
