Freq_GHz	Norm_dB_model_vE
9.99216	-0.716656
10.0021	-0.71815
10.0121	-0.719645
10.0221	-0.721143
10.0321	-0.722642
10.0421	-0.724143
10.0521	-0.725645
10.062	-0.72715
10.072	-0.728656
10.082	-0.730163
10.092	-0.731673
10.102	-0.733184
10.1119	-0.734697
10.1219	-0.736211
10.1319	-0.737728
10.1419	-0.739246
10.1519	-0.740765
10.1619	-0.742287
10.1718	-0.74381
10.1818	-0.745335
10.1918	-0.746861
10.2018	-0.74839
10.2118	-0.74992
10.2217	-0.751451
10.2317	-0.752985
10.2417	-0.75452
10.2517	-0.756057
10.2617	-0.757596
10.2717	-0.759136
10.2816	-0.760678
10.2916	-0.762222
10.3016	-0.763768
10.3116	-0.765315
10.3216	-0.766864
10.3315	-0.768415
10.3415	-0.769967
10.3515	-0.771521
10.3615	-0.773077
10.3715	-0.774635
10.3815	-0.776194
10.3914	-0.777755
10.4014	-0.779318
10.4114	-0.780883
10.4214	-0.782449
10.4314	-0.784017
10.4413	-0.785587
10.4513	-0.787158
10.4613	-0.788732
10.4713	-0.790307
10.4813	-0.791883
10.4913	-0.793462
10.5012	-0.795042
10.5112	-0.796624
10.5212	-0.798207
10.5312	-0.799793
10.5412	-0.80138
10.5512	-0.802969
10.5611	-0.804559
10.5711	-0.806152
10.5811	-0.807746
10.5911	-0.809342
10.6011	-0.810939
10.611	-0.812539
10.621	-0.81414
10.631	-0.815742
10.641	-0.817347
10.651	-0.818953
10.661	-0.820561
10.6709	-0.822171
10.6809	-0.823783
10.6909	-0.825396
10.7009	-0.827011
10.7109	-0.828628
10.7208	-0.830246
10.7308	-0.831866
10.7408	-0.833488
10.7508	-0.835112
10.7608	-0.836738
10.7708	-0.838365
10.7807	-0.839994
10.7907	-0.841625
10.8007	-0.843257
10.8107	-0.844891
10.8207	-0.846527
10.8306	-0.848165
10.8406	-0.849804
10.8506	-0.851446
10.8606	-0.853089
10.8706	-0.854733
10.8806	-0.85638
10.8905	-0.858028
10.9005	-0.859678
10.9105	-0.86133
10.9205	-0.862984
10.9305	-0.864639
10.9404	-0.866296
10.9504	-0.867955
10.9604	-0.869615
10.9704	-0.871278
10.9804	-0.872942
10.9904	-0.874607
11.0003	-0.876275
11.0103	-0.877944
11.0203	-0.879616
11.0303	-0.881288
11.0403	-0.882963
11.0503	-0.88464
11.0602	-0.886318
11.0702	-0.887998
11.0802	-0.889679
11.0902	-0.891363
11.1002	-0.893048
11.1101	-0.894735
11.1201	-0.896424
11.1301	-0.898114
11.1401	-0.899807
11.1501	-0.901501
11.1601	-0.903196
11.17	-0.904894
11.18	-0.906593
11.19	-0.908295
11.2	-0.909997
11.21	-0.911702
11.2199	-0.913409
11.2299	-0.915117
11.2399	-0.916827
11.2499	-0.918538
11.2599	-0.920252
11.2699	-0.921967
11.2798	-0.923684
11.2898	-0.925403
11.2998	-0.927124
11.3098	-0.928846
11.3198	-0.93057
11.3297	-0.932296
11.3397	-0.934024
11.3497	-0.935754
11.3597	-0.937485
11.3697	-0.939218
11.3797	-0.940953
11.3896	-0.942689
11.3996	-0.944428
11.4096	-0.946168
11.4196	-0.94791
11.4296	-0.949654
11.4395	-0.951399
11.4495	-0.953146
11.4595	-0.954895
11.4695	-0.956646
11.4795	-0.958399
11.4895	-0.960153
11.4994	-0.96191
11.5094	-0.963668
11.5194	-0.965427
11.5294	-0.967189
11.5394	-0.968952
11.5493	-0.970717
11.5593	-0.972484
11.5693	-0.974253
11.5793	-0.976023
11.5893	-0.977796
11.5993	-0.97957
11.6092	-0.981346
11.6192	-0.983123
11.6292	-0.984903
11.6392	-0.986684
11.6492	-0.988467
11.6592	-0.990252
11.6691	-0.992038
11.6791	-0.993827
11.6891	-0.995617
11.6991	-0.997409
11.7091	-0.999202
11.719	-1.001
