Freq_GHz	Model_Norm_dB	Model_dBm_5mA
4.69962	-0.0485876	-9.38379
4.7096	-0.0487977	-9.384
4.71958	-0.0490083	-9.38421
4.72956	-0.0492194	-9.38442
4.73953	-0.049431	-9.38463
4.74951	-0.0496431	-9.38485
4.75949	-0.0498556	-9.38506
4.76947	-0.0500686	-9.38527
4.77944	-0.0502821	-9.38549
4.78942	-0.050496	-9.3857
4.7994	-0.0507104	-9.38591
4.80938	-0.0509254	-9.38613
4.81935	-0.0511407	-9.38634
4.82933	-0.0513566	-9.38656
4.83931	-0.051573	-9.38678
4.84929	-0.0517898	-9.38699
4.85926	-0.0520071	-9.38721
4.86924	-0.0522249	-9.38743
4.87922	-0.0524431	-9.38765
4.8892	-0.0526619	-9.38786
4.89917	-0.0528811	-9.38808
4.90915	-0.0531008	-9.3883
4.91913	-0.053321	-9.38852
4.92911	-0.0535416	-9.38874
4.93908	-0.0537627	-9.38897
4.94906	-0.0539844	-9.38919
4.95904	-0.0542065	-9.38941
4.96902	-0.054429	-9.38963
4.97899	-0.0546521	-9.38986
4.98897	-0.0548756	-9.39008
4.99895	-0.0550997	-9.3903
5.00893	-0.0553242	-9.39053
5.0189	-0.0555491	-9.39075
5.02888	-0.0557746	-9.39098
5.03886	-0.0560006	-9.3912
5.04884	-0.056227	-9.39143
5.05881	-0.0564539	-9.39166
5.06879	-0.0566813	-9.39188
5.07877	-0.0569092	-9.39211
5.08875	-0.0571375	-9.39234
5.09872	-0.0573664	-9.39257
5.1087	-0.0575957	-9.3928
5.11868	-0.0578255	-9.39303
5.12866	-0.0580558	-9.39326
5.13863	-0.0582866	-9.39349
5.14861	-0.0585179	-9.39372
5.15859	-0.0587496	-9.39395
5.16857	-0.0589819	-9.39418
5.17854	-0.0592146	-9.39442
5.18852	-0.0594478	-9.39465
5.1985	-0.0596815	-9.39488
5.20848	-0.0599157	-9.39512
5.21845	-0.0601503	-9.39535
5.22843	-0.0603855	-9.39559
5.23841	-0.0606211	-9.39582
5.24839	-0.0608572	-9.39606
5.25836	-0.0610938	-9.3963
5.26834	-0.0613309	-9.39653
5.27832	-0.0615685	-9.39677
5.2883	-0.0618066	-9.39701
5.29827	-0.0620451	-9.39725
5.30825	-0.0622842	-9.39749
5.31823	-0.0625237	-9.39773
5.32821	-0.0627637	-9.39797
5.33818	-0.0630043	-9.39821
5.34816	-0.0632452	-9.39845
5.35814	-0.0634867	-9.39869
5.36812	-0.0637287	-9.39893
5.37809	-0.0639712	-9.39917
5.38807	-0.0642141	-9.39942
5.39805	-0.0644576	-9.39966
5.40803	-0.0647015	-9.3999
5.418	-0.0649459	-9.40015
5.42798	-0.0651909	-9.40039
5.43796	-0.0654363	-9.40064
5.44794	-0.0656822	-9.40089
5.45791	-0.0659286	-9.40113
5.46789	-0.0661754	-9.40138
5.47787	-0.0664228	-9.40163
5.48785	-0.0666707	-9.40187
5.49782	-0.066919	-9.40212
5.5078	-0.0671679	-9.40237
5.51778	-0.0674172	-9.40262
5.52776	-0.0676671	-9.40287
5.53773	-0.0679174	-9.40312
5.54771	-0.0681682	-9.40337
5.55769	-0.0684195	-9.40362
5.56767	-0.0686713	-9.40387
5.57764	-0.0689236	-9.40413
5.58762	-0.0691764	-9.40438
5.5976	-0.0694297	-9.40463
5.60758	-0.0696835	-9.40489
5.61755	-0.0699378	-9.40514
5.62753	-0.0701926	-9.4054
5.63751	-0.0704478	-9.40565
5.64749	-0.0707036	-9.40591
5.65746	-0.0709598	-9.40616
5.66744	-0.0712166	-9.40642
5.67742	-0.0714739	-9.40668
5.6874	-0.0717316	-9.40693
5.69737	-0.0719899	-9.40719
5.70735	-0.0722486	-9.40745
5.71733	-0.0725078	-9.40771
5.72731	-0.0727676	-9.40797
5.73728	-0.0730278	-9.40823
5.74726	-0.0732885	-9.40849
5.75724	-0.0735498	-9.40875
5.76722	-0.0738115	-9.40901
5.77719	-0.0740737	-9.40928
5.78717	-0.0743365	-9.40954
5.79715	-0.0745997	-9.4098
5.80713	-0.0748634	-9.41007
5.8171	-0.0751276	-9.41033
5.82708	-0.0753924	-9.4106
5.83706	-0.0756576	-9.41086
5.84704	-0.0759233	-9.41113
5.85701	-0.0761895	-9.41139
5.86699	-0.0764562	-9.41166
5.87697	-0.0767235	-9.41193
5.88695	-0.0769912	-9.41219
5.89692	-0.0772594	-9.41246
5.9069	-0.0775282	-9.41273
5.91688	-0.0777974	-9.413
5.92686	-0.0780671	-9.41327
5.93683	-0.0783374	-9.41354
5.94681	-0.0786081	-9.41381
5.95679	-0.0788794	-9.41408
5.96677	-0.0791511	-9.41435
5.97674	-0.0794233	-9.41463
5.98672	-0.0796961	-9.4149
5.9967	-0.0799694	-9.41517
6.00668	-0.0802431	-9.41545
6.01665	-0.0805174	-9.41572
6.02663	-0.0807922	-9.416
6.03661	-0.0810674	-9.41627
6.04659	-0.0813432	-9.41655
6.05656	-0.0816195	-9.41682
6.06654	-0.0818963	-9.4171
6.07652	-0.0821736	-9.41738
6.0865	-0.0824514	-9.41765
6.09647	-0.0827297	-9.41793
6.10645	-0.0830085	-9.41821
6.11643	-0.0832878	-9.41849
6.12641	-0.0835677	-9.41877
6.13638	-0.083848	-9.41905
6.14636	-0.0841288	-9.41933
6.15634	-0.0844102	-9.41961
6.16632	-0.0846921	-9.4199
6.17629	-0.0849744	-9.42018
6.18627	-0.0852573	-9.42046
6.19625	-0.0855407	-9.42074
6.20623	-0.0858246	-9.42103
6.2162	-0.086109	-9.42131
6.22618	-0.0863939	-9.4216
6.23616	-0.0866793	-9.42188
6.24614	-0.0869653	-9.42217
6.25611	-0.0872517	-9.42245
6.26609	-0.0875387	-9.42274
6.27607	-0.0878261	-9.42303
6.28605	-0.0881141	-9.42332
6.29602	-0.0884026	-9.42361
6.306	-0.0886916	-9.42389
6.31598	-0.0889811	-9.42418
6.32596	-0.0892712	-9.42447
6.33593	-0.0895617	-9.42476
6.34591	-0.0898527	-9.42506
6.35589	-0.0901443	-9.42535
6.36587	-0.0904364	-9.42564
6.37584	-0.090729	-9.42593
6.38582	-0.0910221	-9.42623
6.3958	-0.0913157	-9.42652
6.40578	-0.0916098	-9.42681
6.41575	-0.0919045	-9.42711
6.42573	-0.0921997	-9.4274
6.43571	-0.0924953	-9.4277
6.44569	-0.0927915	-9.42799
6.45566	-0.0930882	-9.42829
6.46564	-0.0933855	-9.42859
6.47562	-0.0936832	-9.42889
6.4856	-0.0939815	-9.42918
6.49557	-0.0942802	-9.42948
6.50555	-0.0945795	-9.42978
6.51553	-0.0948793	-9.43008
6.52551	-0.0951797	-9.43038
6.53548	-0.0954805	-9.43068
6.54546	-0.0957819	-9.43098
6.55544	-0.0960838	-9.43129
6.56542	-0.0963862	-9.43159
6.57539	-0.0966891	-9.43189
6.58537	-0.0969925	-9.4322
6.59535	-0.0972965	-9.4325
6.60533	-0.097601	-9.4328
6.6153	-0.097906	-9.43311
6.62528	-0.0982115	-9.43341
6.63526	-0.0985175	-9.43372
6.64524	-0.0988241	-9.43403
6.65521	-0.0991312	-9.43433
6.66519	-0.0994388	-9.43464
6.67517	-0.0997469	-9.43495
6.68515	-0.100056	-9.43526
6.69512	-0.100365	-9.43557
6.7051	-0.100674	-9.43588
6.71508	-0.100985	-9.43619
6.72506	-0.101295	-9.4365
6.73503	-0.101607	-9.43681
6.74501	-0.101918	-9.43712
6.75499	-0.102231	-9.43743
6.76497	-0.102544	-9.43775
6.77494	-0.102857	-9.43806
6.78492	-0.103171	-9.43837
6.7949	-0.103485	-9.43869
6.80488	-0.1038	-9.439
6.81485	-0.104116	-9.43932
6.82483	-0.104432	-9.43963
6.83481	-0.104748	-9.43995
6.84479	-0.105065	-9.44027
6.85476	-0.105383	-9.44059
6.86474	-0.105701	-9.4409
6.87472	-0.106019	-9.44122
6.8847	-0.106339	-9.44154
6.89467	-0.106658	-9.44186
6.90465	-0.106978	-9.44218
6.91463	-0.107299	-9.4425
6.92461	-0.10762	-9.44282
6.93458	-0.107942	-9.44315
6.94456	-0.108264	-9.44347
6.95454	-0.108587	-9.44379
6.96452	-0.108911	-9.44411
6.97449	-0.109235	-9.44444
6.98447	-0.109559	-9.44476
6.99445	-0.109884	-9.44509
7.00443	-0.11021	-9.44541
7.0144	-0.110536	-9.44574
7.02438	-0.110862	-9.44607
7.03436	-0.111189	-9.44639
7.04434	-0.111517	-9.44672
7.05431	-0.111845	-9.44705
7.06429	-0.112174	-9.44738
7.07427	-0.112503	-9.44771
7.08425	-0.112833	-9.44804
7.09422	-0.113163	-9.44837
7.1042	-0.113494	-9.4487
7.11418	-0.113825	-9.44903
7.12416	-0.114157	-9.44936
7.13413	-0.114489	-9.44969
7.14411	-0.114822	-9.45003
7.15409	-0.115156	-9.45036
7.16407	-0.11549	-9.45069
7.17404	-0.115825	-9.45103
7.18402	-0.11616	-9.45136
7.194	-0.116495	-9.4517
7.20398	-0.116831	-9.45203
7.21395	-0.117168	-9.45237
7.22393	-0.117505	-9.45271
7.23391	-0.117843	-9.45305
7.24389	-0.118182	-9.45338
7.25386	-0.11852	-9.45372
7.26384	-0.11886	-9.45406
7.27382	-0.1192	-9.4544
7.2838	-0.11954	-9.45474
7.29377	-0.119881	-9.45508
7.30375	-0.120223	-9.45543
7.31373	-0.120565	-9.45577
7.32371	-0.120908	-9.45611
7.33368	-0.121251	-9.45645
7.34366	-0.121595	-9.4568
7.35364	-0.121939	-9.45714
7.36362	-0.122284	-9.45749
7.37359	-0.122629	-9.45783
7.38357	-0.122975	-9.45818
7.39355	-0.123321	-9.45852
7.40353	-0.123668	-9.45887
7.4135	-0.124016	-9.45922
7.42348	-0.124364	-9.45957
7.43346	-0.124713	-9.45992
7.44344	-0.125062	-9.46026
7.45341	-0.125411	-9.46061
7.46339	-0.125762	-9.46096
7.47337	-0.126112	-9.46132
7.48335	-0.126464	-9.46167
7.49332	-0.126816	-9.46202
7.5033	-0.127168	-9.46237
7.51328	-0.127521	-9.46272
7.52326	-0.127875	-9.46308
7.53323	-0.128229	-9.46343
7.54321	-0.128583	-9.46379
7.55319	-0.128938	-9.46414
7.56317	-0.129294	-9.4645
7.57314	-0.12965	-9.46485
7.58312	-0.130007	-9.46521
7.5931	-0.130365	-9.46557
7.60308	-0.130723	-9.46593
7.61305	-0.131081	-9.46628
7.62303	-0.13144	-9.46664
7.63301	-0.1318	-9.467
7.64299	-0.13216	-9.46736
7.65296	-0.13252	-9.46772
7.66294	-0.132882	-9.46808
7.67292	-0.133243	-9.46845
7.6829	-0.133606	-9.46881
7.69287	-0.133969	-9.46917
7.70285	-0.134332	-9.46953
7.71283	-0.134696	-9.4699
7.72281	-0.13506	-9.47026
7.73278	-0.135426	-9.47063
7.74276	-0.135791	-9.47099
7.75274	-0.136157	-9.47136
7.76272	-0.136524	-9.47173
7.77269	-0.136891	-9.47209
7.78267	-0.137259	-9.47246
7.79265	-0.137628	-9.47283
7.80263	-0.137997	-9.4732
7.8126	-0.138366	-9.47357
7.82258	-0.138736	-9.47394
7.83256	-0.139107	-9.47431
7.84254	-0.139478	-9.47468
7.85251	-0.13985	-9.47505
