Freq_GHz	Norm_dB_model	Model_dBm_5mA
6.17629	-0.214765	-7.52085
6.18627	-0.21547	-7.52155
6.19625	-0.216175	-7.52226
6.20623	-0.216882	-7.52297
6.2162	-0.21759	-7.52367
6.22618	-0.218299	-7.52438
6.23616	-0.219009	-7.52509
6.24614	-0.219721	-7.52581
6.25611	-0.220434	-7.52652
6.26609	-0.221148	-7.52723
6.27607	-0.221863	-7.52795
6.28605	-0.222579	-7.52866
6.29602	-0.223297	-7.52938
6.306	-0.224016	-7.5301
6.31598	-0.224736	-7.53082
6.32596	-0.225457	-7.53154
6.33593	-0.226179	-7.53226
6.34591	-0.226903	-7.53299
6.35589	-0.227628	-7.53371
6.36587	-0.228354	-7.53444
6.37584	-0.229081	-7.53517
6.38582	-0.22981	-7.53589
6.3958	-0.230539	-7.53662
6.40578	-0.23127	-7.53735
6.41575	-0.232002	-7.53809
6.42573	-0.232735	-7.53882
6.43571	-0.23347	-7.53955
6.44569	-0.234205	-7.54029
6.45566	-0.234942	-7.54103
6.46564	-0.23568	-7.54176
6.47562	-0.23642	-7.5425
6.4856	-0.23716	-7.54324
6.49557	-0.237902	-7.54399
6.50555	-0.238645	-7.54473
6.51553	-0.239389	-7.54547
6.52551	-0.240134	-7.54622
6.53548	-0.240881	-7.54696
6.54546	-0.241628	-7.54771
6.55544	-0.242377	-7.54846
6.56542	-0.243127	-7.54921
6.57539	-0.243879	-7.54996
6.58537	-0.244631	-7.55072
6.59535	-0.245385	-7.55147
6.60533	-0.24614	-7.55222
6.6153	-0.246896	-7.55298
6.62528	-0.247654	-7.55374
6.63526	-0.248412	-7.5545
6.64524	-0.249172	-7.55526
6.65521	-0.249933	-7.55602
6.66519	-0.250695	-7.55678
6.67517	-0.251459	-7.55754
6.68515	-0.252224	-7.55831
6.69512	-0.25299	-7.55907
6.7051	-0.253757	-7.55984
6.71508	-0.254525	-7.56061
6.72506	-0.255294	-7.56138
6.73503	-0.256065	-7.56215
6.74501	-0.256837	-7.56292
6.75499	-0.25761	-7.56369
6.76497	-0.258385	-7.56447
6.77494	-0.25916	-7.56524
6.78492	-0.259937	-7.56602
6.7949	-0.260715	-7.5668
6.80488	-0.261495	-7.56758
6.81485	-0.262275	-7.56836
6.82483	-0.263057	-7.56914
6.83481	-0.26384	-7.56992
6.84479	-0.264624	-7.57071
6.85476	-0.265409	-7.57149
6.86474	-0.266196	-7.57228
6.87472	-0.266984	-7.57307
6.8847	-0.267773	-7.57386
6.89467	-0.268563	-7.57465
6.90465	-0.269354	-7.57544
6.91463	-0.270147	-7.57623
6.92461	-0.270941	-7.57702
6.93458	-0.271736	-7.57782
6.94456	-0.272532	-7.57862
6.95454	-0.27333	-7.57941
6.96452	-0.274129	-7.58021
6.97449	-0.274929	-7.58101
6.98447	-0.27573	-7.58181
6.99445	-0.276532	-7.58262
7.00443	-0.277336	-7.58342
7.0144	-0.278141	-7.58422
7.02438	-0.278947	-7.58503
7.03436	-0.279754	-7.58584
7.04434	-0.280563	-7.58665
7.05431	-0.281372	-7.58746
7.06429	-0.282183	-7.58827
7.07427	-0.282996	-7.58908
7.08425	-0.283809	-7.58989
7.09422	-0.284624	-7.59071
7.1042	-0.28544	-7.59152
7.11418	-0.286257	-7.59234
7.12416	-0.287075	-7.59316
7.13413	-0.287895	-7.59398
7.14411	-0.288716	-7.5948
7.15409	-0.289538	-7.59562
7.16407	-0.290361	-7.59645
7.17404	-0.291185	-7.59727
7.18402	-0.292011	-7.5981
7.194	-0.292838	-7.59892
7.20398	-0.293666	-7.59975
7.21395	-0.294496	-7.60058
7.22393	-0.295326	-7.60141
7.23391	-0.296158	-7.60224
7.24389	-0.296991	-7.60308
7.25386	-0.297826	-7.60391
7.26384	-0.298661	-7.60475
7.27382	-0.299498	-7.60558
7.2838	-0.300336	-7.60642
7.29377	-0.301175	-7.60726
7.30375	-0.302016	-7.6081
7.31373	-0.302858	-7.60894
7.32371	-0.303701	-7.60978
7.33368	-0.304545	-7.61063
7.34366	-0.30539	-7.61147
7.35364	-0.306237	-7.61232
7.36362	-0.307085	-7.61317
7.37359	-0.307934	-7.61402
7.38357	-0.308784	-7.61487
7.39355	-0.309636	-7.61572
7.40353	-0.310489	-7.61657
7.4135	-0.311343	-7.61743
7.42348	-0.312198	-7.61828
7.43346	-0.313055	-7.61914
7.44344	-0.313912	-7.62
7.45341	-0.314771	-7.62086
7.46339	-0.315632	-7.62172
7.47337	-0.316493	-7.62258
7.48335	-0.317356	-7.62344
7.49332	-0.31822	-7.6243
7.5033	-0.319085	-7.62517
7.51328	-0.319951	-7.62604
7.52326	-0.320819	-7.6269
7.53323	-0.321688	-7.62777
7.54321	-0.322558	-7.62864
7.55319	-0.32343	-7.62951
7.56317	-0.324302	-7.63039
7.57314	-0.325176	-7.63126
7.58312	-0.326051	-7.63214
7.5931	-0.326928	-7.63301
7.60308	-0.327805	-7.63389
7.61305	-0.328684	-7.63477
7.62303	-0.329564	-7.63565
7.63301	-0.330446	-7.63653
7.64299	-0.331328	-7.63741
7.65296	-0.332212	-7.6383
7.66294	-0.333097	-7.63918
7.67292	-0.333983	-7.64007
7.6829	-0.334871	-7.64095
7.69287	-0.33576	-7.64184
7.70285	-0.33665	-7.64273
7.71283	-0.337541	-7.64363
7.72281	-0.338434	-7.64452
7.73278	-0.339327	-7.64541
7.74276	-0.340222	-7.64631
7.75274	-0.341119	-7.6472
7.76272	-0.342016	-7.6481
7.77269	-0.342915	-7.649
7.78267	-0.343815	-7.6499
7.79265	-0.344716	-7.6508
7.80263	-0.345619	-7.6517
7.8126	-0.346523	-7.65261
7.82258	-0.347428	-7.65351
7.83256	-0.348334	-7.65442
7.84254	-0.349241	-7.65533
7.85251	-0.35015	-7.65623
7.86249	-0.35106	-7.65714
7.87247	-0.351971	-7.65806
7.88245	-0.352884	-7.65897
7.89242	-0.353798	-7.65988
7.9024	-0.354713	-7.6608
7.91238	-0.355629	-7.66171
7.92236	-0.356547	-7.66263
7.93233	-0.357465	-7.66355
7.94231	-0.358385	-7.66447
7.95229	-0.359307	-7.66539
7.96227	-0.360229	-7.66631
7.97224	-0.361153	-7.66724
7.98222	-0.362078	-7.66816
7.9922	-0.363004	-7.66909
8.00218	-0.363932	-7.67002
