Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
15.6061	0.479904	-0.26635	0.5026	-0.22758	23.9952	-13.3175	25.13	-11.379
15.8061	0.472599	-0.260555	0.495405	-0.221577	23.6299	-13.0277	24.7703	-11.0788
16.006	0.464922	-0.254892	0.48834	-0.215504	23.2461	-12.7446	24.417	-10.7752
16.206	0.458779	-0.248812	0.481403	-0.209364	22.9389	-12.4406	24.0701	-10.4682
16.4059	0.450372	-0.243022	0.474592	-0.203163	22.5186	-12.1511	23.7296	-10.1581
16.6059	0.44576	-0.236858	0.467905	-0.196903	22.288	-11.8429	23.3953	-9.84513
16.8058	0.438298	-0.230363	0.461342	-0.190587	21.9149	-11.5181	23.0671	-9.52937
17.0057	0.431636	-0.223426	0.4549	-0.18422	21.5818	-11.1713	22.745	-9.211
17.2057	0.425148	-0.217819	0.448577	-0.177804	21.2574	-10.891	22.4289	-8.8902
17.4057	0.418929	-0.212084	0.442372	-0.171342	20.9465	-10.6042	22.1186	-8.5671
17.6056	0.414287	-0.204547	0.436283	-0.164837	20.7143	-10.2274	21.8141	-8.24187
17.8056	0.407161	-0.197877	0.430308	-0.158292	20.358	-9.89386	21.5154	-7.91462
18.0055	0.402122	-0.191179	0.424445	-0.15171	20.1061	-9.55894	21.2222	-7.5855
18.2054	0.396211	-0.185204	0.418692	-0.145093	19.8106	-9.26018	20.9346	-7.25463
18.4054	0.39054	-0.177426	0.413048	-0.138443	19.527	-8.87131	20.6524	-6.92214
18.6054	0.38498	-0.171723	0.407511	-0.131763	19.249	-8.58614	20.3756	-6.58813
18.8053	0.378667	-0.164517	0.40208	-0.125054	18.9334	-8.22587	20.104	-6.25272
19.0053	0.375071	-0.157574	0.396751	-0.11832	18.7536	-7.87869	19.8375	-5.91602
19.2052	0.368721	-0.150696	0.391524	-0.111563	18.436	-7.53479	19.5762	-5.57813
19.4051	0.363544	-0.142866	0.386396	-0.104783	18.1772	-7.1433	19.3198	-5.23913
19.6051	0.358436	-0.13716	0.381367	-0.0979827	17.9218	-6.85802	19.0683	-4.89913
19.8051	0.353112	-0.128114	0.376434	-0.0911643	17.6556	-6.40572	18.8217	-4.55822
20.005	0.348965	-0.123534	0.371595	-0.0843293	17.4483	-6.17669	18.5798	-4.21646
20.205	0.344235	-0.113809	0.366849	-0.0774791	17.2118	-5.69043	18.3425	-3.87396
20.4049	0.339494	-0.107889	0.362194	-0.0706154	16.9747	-5.39446	18.1097	-3.53077
20.6048	0.335716	-0.100016	0.357629	-0.0637396	16.7858	-5.00081	17.8814	-3.18698
