Freq_GHz	Norm_dB_model_hole
8.33515	-0.106517
8.34513	-0.106781
8.35511	-0.107046
8.36509	-0.107311
8.37508	-0.107577
8.38506	-0.107843
8.39504	-0.108109
8.40502	-0.108376
8.415	-0.108643
8.42498	-0.10891
8.43497	-0.109178
8.44495	-0.109446
8.45493	-0.109714
8.46491	-0.109983
8.47489	-0.110253
8.48488	-0.110522
8.49486	-0.110792
8.50484	-0.111062
8.51482	-0.111333
8.5248	-0.111604
8.53479	-0.111876
8.54477	-0.112147
8.55475	-0.112419
8.56473	-0.112692
8.57471	-0.112965
8.5847	-0.113238
8.59468	-0.113512
8.60466	-0.113786
8.61464	-0.11406
8.62462	-0.114335
8.63461	-0.11461
8.64459	-0.114885
8.65457	-0.115161
8.66455	-0.115437
8.67453	-0.115714
8.68452	-0.115991
8.6945	-0.116268
8.70448	-0.116546
8.71446	-0.116824
8.72444	-0.117102
8.73443	-0.117381
8.74441	-0.11766
8.75439	-0.117939
8.76437	-0.118219
8.77435	-0.1185
8.78434	-0.11878
8.79432	-0.119061
8.8043	-0.119343
8.81428	-0.119624
8.82426	-0.119906
8.83425	-0.120189
8.84423	-0.120472
8.85421	-0.120755
8.86419	-0.121039
8.87417	-0.121322
8.88416	-0.121607
8.89414	-0.121892
8.90412	-0.122177
8.9141	-0.122462
8.92408	-0.122748
8.93407	-0.123034
8.94405	-0.123321
8.95403	-0.123608
8.96401	-0.123895
8.97399	-0.124183
8.98398	-0.124471
8.99396	-0.124759
9.00394	-0.125048
9.01392	-0.125337
9.0239	-0.125627
9.03389	-0.125917
9.04387	-0.126207
9.05385	-0.126498
9.06383	-0.126789
9.07381	-0.12708
9.0838	-0.127372
9.09378	-0.127664
9.10376	-0.127957
9.11374	-0.12825
9.12372	-0.128543
9.13371	-0.128837
9.14369	-0.129131
9.15367	-0.129425
9.16365	-0.12972
9.17363	-0.130015
9.18362	-0.130311
9.1936	-0.130607
9.20358	-0.130903
9.21356	-0.1312
9.22354	-0.131497
9.23353	-0.131795
9.24351	-0.132092
9.25349	-0.132391
9.26347	-0.132689
9.27345	-0.132988
9.28344	-0.133288
9.29342	-0.133588
9.3034	-0.133888
9.31338	-0.134188
9.32336	-0.134489
9.33335	-0.13479
9.34333	-0.135092
9.35331	-0.135394
9.36329	-0.135697
9.37327	-0.135999
9.38326	-0.136303
9.39324	-0.136606
9.40322	-0.13691
9.4132	-0.137215
9.42318	-0.137519
9.43317	-0.137824
9.44315	-0.13813
9.45313	-0.138436
9.46311	-0.138742
9.47309	-0.139049
9.48308	-0.139356
9.49306	-0.139663
9.50304	-0.139971
9.51302	-0.140279
9.523	-0.140588
9.53299	-0.140897
